freq,voltage,phase
1.99526231496885e+04,-1.32174042267696e-01,-1.03864815829073e+01
1.99986186963271e+04,-1.32742310529106e-01,-1.04100029166547e+01
2.00447202736513e+04,-1.33313127765198e-01,-1.04335756142278e+01
2.00909281260870e+04,-1.33886505076025e-01,-1.04571997749706e+01
2.01372424986236e+04,-1.34462453606987e-01,-1.04808754983324e+01
2.01836636368153e+04,-1.35040984548953e-01,-1.05046028838672e+01
2.02301917867824e+04,-1.35622109138474e-01,-1.05283820312333e+01
2.02768271952125e+04,-1.36205838657934e-01,-1.05522130401928e+01
2.03235701093619e+04,-1.36792184435663e-01,-1.05760960106108e+01
2.03704207770568e+04,-1.37381157846125e-01,-1.06000310424552e+01
2.04173794466950e+04,-1.37972770310122e-01,-1.06240182357958e+01
2.04644463672464e+04,-1.38567033294861e-01,-1.06480576908039e+01
2.05116217882553e+04,-1.39163958314201e-01,-1.06721495077520e+01
2.05589059598411e+04,-1.39763556928760e-01,-1.06962937870129e+01
2.06062991326997e+04,-1.40365840746104e-01,-1.07204906290589e+01
2.06538015581049e+04,-1.40970821420893e-01,-1.07447401344620e+01
2.07014134879101e+04,-1.41578510655043e-01,-1.07690424038925e+01
2.07491351745487e+04,-1.42188920197902e-01,-1.07933975381191e+01
2.07969668710366e+04,-1.42802061846402e-01,-1.08178056380076e+01
2.08449088309725e+04,-1.43417947445219e-01,-1.08422668045208e+01
2.08929613085400e+04,-1.44036588886925e-01,-1.08667811387180e+01
2.09411245585086e+04,-1.44657998112204e-01,-1.08913487417538e+01
2.09893988362349e+04,-1.45282187109932e-01,-1.09159697148779e+01
2.10377843976644e+04,-1.45909167917414e-01,-1.09406441594346e+01
2.10862814993325e+04,-1.46538952620493e-01,-1.09653721768617e+01
2.11348903983661e+04,-1.47171553353769e-01,-1.09901538686903e+01
2.11836113524847e+04,-1.47806982300708e-01,-1.10149893365439e+01
2.12324446200018e+04,-1.48445251693849e-01,-1.10398786821377e+01
2.12813904598267e+04,-1.49086373814928e-01,-1.10648220072785e+01
2.13304491314654e+04,-1.49730360995096e-01,-1.10898194138630e+01
2.13796208950219e+04,-1.50377225615037e-01,-1.11148710038783e+01
2.14289060112002e+04,-1.51026980105154e-01,-1.11399768794004e+01
2.14783047413050e+04,-1.51679636945738e-01,-1.11651371425937e+01
2.15278173472433e+04,-1.52335208667117e-01,-1.11903518957105e+01
2.15774440915263e+04,-1.52993707849850e-01,-1.12156212410903e+01
2.16271852372698e+04,-1.53655147124852e-01,-1.12409452811587e+01
2.16770410481966e+04,-1.54319539173612e-01,-1.12663241184274e+01
